20.467, -54.324, 30.052
20.354, -56.301, 20
21.837, -57.333, 33.537
23.78, -56.893, 83.223
25.623, -56.119, 92.272
27.415, -55.232, 89.518
29.181, -54.292, 86.634
30.934, -53.33, 83.651
32.685, -52.363, 80.557
34.44, -51.405, 77.34
36.209, -50.47, 73.983
37.993, -49.567, 70.466
39.803, -48.717, 66.764
41.644, -47.936, 62.845
43.523, -47.25, 58.665
45.45, -46.72, 54.165
47.425, -46.415, 49.258
49.423, -46.383, 43.803
51.416, -46.535, 37.563
53.361, -46.986, 30.066
55.063, -48.006, 20
56.113, -49.686, 57.307
56.612, -51.621, 52.694
57.015, -53.58, 47.631
57.598, -55.491, 41.965
58.492, -57.277, 35.409
59.694, -58.872, 27.322
60.944, -59.417, 20
60.271, -57.537, 92.913
59.443, -55.717, 96.954
58.571, -53.917, 98.465
57.676, -52.129, 98.871
56.767, -50.347, 99.369
55.848, -48.57, 99.527
54.924, -46.797, 99.648
53.995, -45.026, 99.744
53.063, -43.256, 99.821
52.129, -41.488, 99.885
51.193, -39.72, 99.939
50.257, -37.953, 99.986
49.321, -36.186, 99.973
48.384, -34.418, 99.935
47.449, -32.651, 99.901
46.514, -30.882, 99.867
45.581, -29.114, 99.835
44.649, -27.344, 99.803
43.719, -25.573, 99.77
42.792, -23.801, 99.736
41.867, -22.028, 99.7
40.945, -20.253, 99.7
40.027, -18.476, 99.662
39.112, -16.698, 99.62
38.202, -14.917, 99.573
37.295, -13.134, 99.522
36.394, -11.348, 99.463
35.498, -9.56, 99.396
34.609, -7.769, 99.162
35.352, -6.528, 97.291
37.144, -5.64, 96.766
38.915, -4.71, 96.766
40.668, -3.748, 96.147
42.402, -2.753, 95.424
44.113, -1.717, 95.424
45.786, -0.62, 94.592
47.422, 0.529, 93.653
49.014, 1.738, 92.621
50.552, 3.017, 91.526
52.023, 4.371, 90.417
53.413, 5.808, 89.363
54.708, 7.331, 88.452
55.886, 8.947, 87.406
56.928, 10.653, 87.404
57.837, 12.433, 87.778
58.612, 14.276, 88.499
59.237, 16.176, 90.702
59.741, 18.11, 92.015
60.145, 20.069, 93.361
60.461, 22.043, 95.924
60.707, 24.028, 97.07
60.907, 26.018, 96.491
61.076, 28.011, 93.822
61.228, 30.005, 91.074
61.375, 32, 88.241
